0       0        0       0        bar0
6556.5       6556.5        6556.5       6556.5        bar206         volume:0.15
6559.3       6559.3        6559.3       6559.3        bar208         volume:0.0215039
6559.3       6559.3        6559.3       6559.3        bar209         volume:0.00888973
6559.8       6559.8        6559.8       6559.8        bar210         volume:0.154298
6557.1       6557.1        6557.1       6557.1        bar211         volume:0.062736
6557.1       6557.1        6557.1       6557.1        bar212         volume:0.00015399
6560.1       6560.1        6560.1       6560.1        bar213         volume:0.0152434
6560.2       6560.2        6560.2       6560.2        bar214         volume:0.715591
6564.5       6564.5        6564.5       6564.5        bar215         volume:0.0152434
6561.7       6561.7        6561.7       6561.7        bar216         volume:0.0304669
6560.2       6560.2        6560.2       6560.2        bar188         volume:0.133647
6564.5       6564.5        6564.5       6564.5        bar218         volume:0.0304669
6563.9       6563.9        6563.9       6563.9        bar219         volume:0.882958
6562.2       6562.2        6562.2       6562.2        bar220         volume:0.002
6561.1       6561.1        6561.1       6561.1        bar222         volume:0.0311103
6561.5       6561.5        6561.5       6561.5        bar221         volume:0.0301783
6561.1       6561.1        6561.1       6561.1        bar223         volume:0.00888973
6561.5       6561.5        6561.5       6561.5        bar224         volume:0.00934509
6561.5       6561.5        6561.5       6561.5        bar225         volume:0.00072863
6561.5       6561.5        6561.5       6561.5        bar226         volume:0.0688693
6561.2       6561.2        6561.2       6561.2        bar227         volume:0.008
6557.4       6557.4        6557.4       6557.4        bar228         volume:0.15
6555.7       6555.7        6555.7       6555.7        bar229         volume:0.0495876
6554.7       6554.7        6554.7       6554.7        bar230         volume:0.100412
6562.8       6562.8        6562.8       6562.8        bar190         volume:0.0228243
6560.1       6560.1        6560.1       6560.1        bar232         volume:1
6560.3       6560.3        6560.3       6560.3        bar233         volume:0.409013
6560.5       6560.5        6560.5       6560.5        bar234         volume:0.002
6560       6560        6560       6560        bar231         volume:0.110629
6560.2       6560.2        6560.2       6560.2        bar236         volume:4.40898
6560.2       6560.2        6560.2       6560.2        bar237         volume:1
6561.5       6561.5        6561.5       6561.5        bar187         volume:0.03
6560.2       6560.2        6560.2       6560.2        bar239         volume:0.391024
6560.2       6560.2        6560.2       6560.2        bar240         volume:0.08
6556.9       6556.9        6556.9       6556.9        bar241         volume:0.04
6556.9       6556.9        6556.9       6556.9        bar242         volume:1
6556.9       6556.9        6556.9       6556.9        bar243         volume:1
6559.8       6559.8        6559.8       6559.8        bar244         volume:0.856253
6556.8       6556.8        6556.8       6556.8        bar245         volume:1
6556.8       6556.8        6556.8       6556.8        bar246         volume:0.14
6554       6554        6554       6554        bar247         volume:0.0450038
6554       6554        6554       6554        bar248         volume:0.393104
6554       6554        6554       6554        bar249         volume:0.00078464
6554       6554        6554       6554        bar250         volume:0.00000156
6554       6554        6554       6554        bar252         volume:0.00101133
6554       6554        6554       6554        bar251         volume:0.460707
6554       6554        6554       6554        bar253         volume:0.00000195
6554       6554        6554       6554        bar254         volume:0.0993861
6552.3       6552.3        6552.3       6552.3        bar255         volume:0.0156139
6554.3       6554.3        6554.3       6554.3        bar256         volume:0.002
6552.9       6552.9        6552.9       6552.9        bar257         volume:0.15
6552.9       6552.9        6552.9       6552.9        bar258         volume:0.149614
6552.9       6552.9        6552.9       6552.9        bar259         volume:0.00038621
6553.1       6553.1        6553.1       6553.1        bar260         volume:0.0007
6554.4       6554.4        6554.4       6554.4        bar261         volume:0.0007
6554.4       6554.4        6554.4       6554.4        bar262         volume:0.00467912
6554.4       6554.4        6554.4       6554.4        bar263         volume:0.0232482
6554.4       6554.4        6554.4       6554.4        bar264         volume:0.0501887
6554.3       6554.3        6554.3       6554.3        bar265         volume:0.15
6554.3       6554.3        6554.3       6554.3        bar266         volume:0.218
6554.2       6554.2        6554.2       6554.2        bar267         volume:0.01525
6552.1       6552.1        6552.1       6552.1        bar268         volume:0.45786
6564.5       6564.5        6564.5       6564.5        bar217         volume:0.00396
6560.2       6560.2        6560.2       6560.2        bar235         volume:0.009
6560.2       6560.2        6560.2       6560.2        bar238         volume:1
6552.8       6552.8        6552.8       6552.8        bar269         volume:0.0100876
6551.5       6551.5        6551.5       6551.5        bar273         volume:0.249932
6551.5       6551.5        6551.5       6551.5        bar274         volume:0.00006808
6553       6553        6553       6553        bar275         volume:0.009
6553.3       6553.3        6553.3       6553.3        bar276         volume:0.0761737
6552.1       6552.1        6552.1       6552.1        bar272         volume:0.25786
